price,price_per_sqft,area,areaWithType,bedRoom,bathroom,balcony,floorNum,agePossession,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score,sector_median_price,sector_number
1.65,8461.0,1950.0,1950,3,5,3,6.0,2,0,1,0,1,0,0,167,1.655,70
1.5,11538.0,1300.0,1300,10,7,3,4.0,3,0,0,0,0,0,0,0,1.375,13
0.69,5111.0,1350.0,1350,2,2,3,8.0,2,1,0,0,0,0,0,59,0.9,84
1.2,7151.0,1678.0,1671,2,2,3,15.0,2,0,0,0,0,0,0,49,1.3,85
0.75,4687.0,1600.0,1600,3,4,3,2.0,3,1,0,0,0,0,0,113,0.82,92
1.69,8622.0,1960.0,1960,3,3,3,3.0,3,0,0,0,1,0,0,136,2.675,49
4.5,14097.0,3192.0,3192,4,4,3,0.0,2,0,1,0,1,0,1,42,3.0,67
8.5,17820.0,4770.0,530,5,5,3,3.0,1,1,1,1,1,0,1,145,1.45,33
0.4,6644.0,602.0,602,2,2,1,7.0,2,0,0,0,0,0,1,55,0.675,107
0.9,3648.0,2467.0,2467,4,4,3,7.0,3,0,0,0,0,0,0,0,1.5,114
5.0,7692.0,6500.0,5200,5,7,3,1.0,3,0,1,0,1,0,0,77,1.805,52
1.9,11363.0,1672.0,1672,3,3,2,0.0,0,0,0,0,0,0,0,61,1.46,76
1.24,6465.0,1918.0,1918,3,3,3,8.0,2,1,0,0,0,0,1,158,0.9,84
1.4,21538.0,650.0,650,3,3,3,2.0,0,0,0,0,0,0,0,54,1.45,33
0.46,6318.0,728.0,728,2,2,2,11.0,1,1,0,0,0,0,0,82,0.4,95
1.38,12212.0,1130.0,1130,2,2,2,4.0,0,0,0,0,0,0,1,133,1.5,114
1.82,9371.0,1942.0,1942,3,4,3,15.0,3,0,1,0,0,0,0,125,1.7,102
0.4,6722.0,595.0,595,2,2,3,12.0,1,0,0,0,0,0,0,36,1.5,114
0.86,3323.0,2588.0,2588,3,3,3,3.0,3,0,1,0,0,0,0,81,1.5,114
1.65,8461.0,1950.0,1950,3,3,2,6.0,2,1,0,0,0,0,0,72,1.655,70
3.78,16500.0,2291.0,2295,3,3,3,3.0,0,0,0,0,0,0,0,31,4.625,59
1.42,8606.0,1650.0,1650,3,3,3,7.0,2,0,1,0,0,0,0,128,1.7,102
1.4,8000.0,1750.0,1750,3,3,3,8.0,2,0,0,1,0,0,0,119,2.175,109
0.27,2700.0,1000.0,1000,2,2,0,1.0,5,0,0,0,0,0,0,0,0.4,95
0.42,8483.0,495.0,501,2,2,1,2.0,1,1,1,0,1,1,0,84,1.27,86
0.26,4745.0,548.0,550,2,2,1,6.0,2,0,0,0,0,1,0,79,1.035,99
0.4,5839.0,685.0,685,3,2,2,6.0,5,0,0,0,0,0,0,0,0.4,95
2.05,9534.0,2150.0,2150,4,4,3,7.0,2,0,1,0,0,1,1,49,1.7,56
0.87,4971.0,1750.0,1750,4,4,2,2.0,3,0,0,1,0,0,2,115,0.82,92
1.65,8707.0,1895.0,1895,3,4,3,8.0,2,0,1,0,0,0,0,124,1.27,86
0.42,8235.0,510.0,565,3,3,0,2.0,1,0,0,0,1,0,0,0,1.15,12
2.75,13924.0,1975.0,1975,4,4,3,3.0,2,1,1,0,0,0,1,113,2.775,65
0.88,4888.0,1800.0,1800,3,3,2,2.0,4,0,0,0,0,0,1,31,1.225,9
1.4,7407.0,1890.0,1890,3,3,3,7.0,2,0,0,0,0,0,0,76,1.75,91
5.9,17543.0,3363.0,3363,3,3,3,9.0,3,1,0,0,0,0,2,21,2.775,65
0.82,8639.0,949.0,955,2,2,3,2.0,5,0,0,0,0,0,0,53,2.205,81
3.3,12222.0,2700.0,3470,4,5,3,4.0,2,1,1,0,0,0,1,174,2.205,81
0.5,7812.0,640.0,640,3,3,1,12.0,1,0,0,0,0,0,2,95,0.82,92
1.8,9000.0,2000.0,2400,4,5,3,4.0,2,0,1,0,0,0,0,165,1.535,69
4.85,16934.0,2864.0,2864,4,5,3,23.0,2,1,1,0,1,1,1,49,3.8,58
1.79,8839.0,2025.0,2025,3,3,3,1.0,1,0,1,0,0,0,1,49,1.25,77
1.13,5658.0,1997.0,1997,3,5,3,5.0,2,0,1,0,0,1,0,49,1.035,99
2.29,10928.0,2096.0,2100,3,4,3,15.0,2,0,1,0,0,0,2,103,2.205,81
0.26,6598.0,394.0,394,1,1,1,6.0,1,0,0,0,0,0,0,26,1.5,114
0.6,120000.0,50.0,50,5,3,2,3.0,3,0,0,0,0,1,0,0,1.15,12
0.29,5178.0,560.0,560,2,2,2,14.0,2,0,0,0,0,0,0,50,0.4,95
1.85,16003.0,1156.0,1156,4,3,2,3.0,5,0,0,0,0,0,0,0,1.35,1
0.95,6709.0,1416.0,1416,2,2,3,10.0,4,0,0,0,0,0,1,88,1.36,2
1.5,6616.0,2267.0,2267,3,3,1,4.0,1,0,1,0,0,0,0,37,2.175,109
4.0,9851.0,4061.0,3350,4,4,3,17.0,1,0,0,0,0,0,0,59,3.35,110
0.45,6338.0,710.0,710,2,2,2,6.0,2,0,0,0,0,0,2,49,1.5,114
0.62,9538.0,650.0,650,1,1,0,6.0,5,0,0,0,0,0,0,0,2.4,82
1.15,5958.0,1930.0,1930,3,3,3,9.0,2,0,1,0,1,0,0,88,1.25,90
1.4,6628.0,2112.0,1735,3,3,2,7.0,2,0,0,0,0,0,1,74,1.19,83
3.15,20349.0,1548.0,172,5,4,3,2.0,3,0,0,1,0,0,1,60,4.2,57
0.98,6049.0,1620.0,1620,3,3,3,0.0,3,1,0,0,0,0,0,65,1.0,71
1.75,15514.0,1128.0,1852,3,3,3,1.0,2,0,0,0,0,0,0,49,1.7,102
5.0,16666.0,3000.0,3246,3,3,3,2.0,2,0,1,0,0,0,1,174,2.775,65
2.55,15454.0,1650.0,1650,3,3,3,3.0,2,1,1,0,0,0,0,21,2.775,65
1.65,8266.0,1996.0,1996,3,3,3,2.0,0,0,1,0,0,0,0,37,1.45,33
2.1,8917.0,2355.0,2355,4,6,3,6.0,2,0,1,0,0,1,0,60,1.2,106
0.95,6129.0,1550.0,1550,3,3,2,5.0,3,0,0,0,0,1,0,30,1.225,9
0.89,18658.0,477.0,477,5,3,2,2.0,4,0,0,0,0,0,0,8,1.16,7
2.2,10501.0,2095.0,2095,3,4,3,13.0,2,0,1,0,0,0,0,165,2.175,109
1.38,9482.0,1455.0,1450,3,3,1,2.0,2,0,0,0,0,0,0,60,5.15,48
15.0,23437.0,6400.0,6400,5,5,3,2.0,3,1,1,0,1,0,1,112,9.0,25
